tx_hash,defect_family
0xa730530139ab60cfee350352ac2189cd100d89c6756664d4f071f9816fe71582,reward_distribution_TEND_WING
0xff072544186daf6f8f12a70425ef6edf9945f3bb1509adc0fa041496ce1f1e7d,reward_distribution_TEND_WING
0x12065abab92c913fe7b3428a6e281864c1c9bee2911a7f0dc758ea87e82ce6c1,reward_distribution_TEND_WING
0x07b831c1d16615f990b39d268d97e37af1c365b3ca584cb9f82605428cb834c1,reward_distribution_TEND_WING
0xc10dd5e86b34e4b73cbb6e8b85562717c441fc8d6d2b3da4ba75243f9218181d,reward_distribution_TEND_WING
0x6dd6a4781d92a2d1ab39051b5cb78212f4b598a568d4a7430f72489834fb1198,reward_distribution_TEND_WING
0xcc9a22b6e575535c5486cae95d9f32fbb720f7160f0274c74474b2d6ac4f0466,reward_distribution_TEND_WING
0xa3ece5bc78ae34853e57b81ff2e3a6801dfd26464bd4a1cd8528fd9a6029fd1e,reward_distribution_TEND_WING
0x3edd09e88a774d08cbf2be81bdbde96e55386ebfa940347a5edc3b86a0ff6d31,reward_distribution_TEND_WING
0x7f44d8ea22fd53e989b5c3bb3fa10fb0aeed0aec140269acbaa88d66ac804b04,reward_distribution_TEND_WING
0x8e4819d565cb949168724906089661a49e6b425eabdc4de5387512f66b1d20ca,reward_distribution_TEND_WING
0x4ab9da83adde2c501866d74192cda669513259aa294ce35341605aa5da3ddf00,reward_distribution_TEND_WING
0xa6134026c57d5c0439522c9228c07024ee29185eec3377f90f6fbc34344e7f93,reward_distribution_TEND_WING
0xe7e2483b7e0236f94ae1144b4d8b8a0317ff689eb23015568b7a7f4dd4f5e564,reward_distribution_TEND_WING
0x0aa9aa9c7bc4a704ae21cb7da1c110cfd827a9b38e4f9b3e70edb29eef4b341e,reward_distribution_TEND_WING
0xd25edee71a0baa9d69316e900dbddb7dd19bc61eb3b8db4953c5788324d02ed1,reward_distribution_TEND_WING
0x80a7558df4b0c5604e0ffcf7bb9faac739cdff00e3ba15a24f49f911e8709159,reward_distribution_TEND_WING
0xf880485cc70b6045d3de0e4c93e0d9f6d1e91408b0547cf06997cb9687040c61,reward_distribution_TEND_WING
0x3a5247d1775e8fdaff31dea30059ff0c0d967d926c5558992156c62752d60a7a,reward_distribution_TEND_WING
0xcadeb27d9ad5aea8ed7ad358a3afa40d763f17750b4655a660a2e2501b8863e4,reward_distribution_TEND_WING
0x823ef86337b16690ccc9bd5b85c5c1d91d2010edca8057f1d64b73df50e0a45c,reward_distribution_TEND_WING
0x1bf5d84c153b41ca71e576a661f8b4ecbee3f0b144ec7a83c4c7aa0b6e4d510c,reward_distribution_TEND_WING
0xe90e9faa40860e9d937f4aac6e411944bc17153a06cf10104e1c98720ad2dbaf,reward_distribution_TEND_WING
0xfa5663c22f5b9913c55ddab45eabba25b015cd6eccf99957ab6541d2a5219087,reward_distribution_TEND_WING
0xbae8e9cfdf88c68dfd34ddfc3437351cbc55ca18bc48de7ed3081069522cc1cd,reward_distribution_TEND_WING
0x22f10ecfead97c153f161e811d5deb21bbd6455380709762caae5e19221e14ed,reward_distribution_TEND_WING
0x2bc51529b26721f26b94a97d1316952d7f14ff29427407d5b80db3d7b3e86cab,reward_distribution_TEND_WING
0x72684f29545c609a0fb2d5b09ea73510ac7b9cf2e119039c5a1c340d508ccc9e,reward_distribution_TEND_WING
0xaa5a2dcea172bd320008fa3d8215170c022c6dc96663f86b28afb322c42ed6d5,reward_distribution_TEND_WING
0x13312008b260e472c7d098bfb427282e641737d6f9e51643445bac1e6b2d86fb,reward_distribution_TEND_WING
0x274dedf155fa133d2bf923d700a0cdefb35b22e48531b927b432e6e35a2d45fb,reward_distribution_TEND_WING
0xd037ababfa6bcc1f78a918de2be47f1934a200afd81571531c824b54989a7313,reward_distribution_TEND_WING
0xf86bef9482a69d940ed6f14010021f5b0b99145c83bcf727897dbce106599bb1,reward_distribution_TEND_WING
0x23a0eca1a2c1d860363bd211df8328c6486ce957679ab5e8f138c8e18ead2ea5,reward_distribution_TEND_WING
0xa186136e9aa67b72a8cc256b365c6259d6b5888200edfda8f55763848040e888,reward_distribution_TEND_WING
0xc64d6af878897015855cff9001d8456ed4e663136420126989b51e733b72c347,reward_distribution_TEND_WING
0x1d571a4fedf22b6ef1afdb1122a7fe06665017b1fdfa296fd1b6f41c7624bd25,reward_distribution_TEND_WING
0x4cfa4a7e87b6ec8d8d32bab041ba2ef473857283a89af136d9316e5210ccc464,reward_distribution_TEND_WING
0x8e954566ebecb2c02c54e131388f4b276ebe9d51810d3432770eaa1fbcc78cbb,reward_distribution_TEND_WING
0xc2e5187ad84685ac977f9809cfc010e377712bcac33a5a3793f4a3332e33752f,reward_distribution_TEND_WING
0x57b62905ba0a53d263a1dc68f3e423af3f871ebaef0db9c895173222f0f00266,reward_distribution_TEND_WING
0x99a27e4b76703849318bb1ece3a8bad895e6532e8e94a46f50aded0383022329,reward_distribution_TEND_WING
0xb00fda5186a657e5f4ddc13433ea1104a2475892a2f99bcf33a1a63713e3eb85,reward_distribution_TEND_WING
0x5131bf4f18ef104c30af9dfe124a26605690f1e19deea92a7d39623550203db2,reward_distribution_TEND_WING
0x7953407c25c9828a5af1b7b464fa9c39d374c56a197fc8f360a93c4db61861c5,reward_distribution_TEND_WING
0x76e54ba34648e37a1c21f6fed6d73dd0c7a80b1b8dbb7e1d7b633c45d42c538d,reward_distribution_TEND_WING
0x68fa1cab3f54ed8bfbfb991c40522b0e2a514a13e99d10ee074671279bd72249,reward_distribution_TEND_WING
0x25d9c944d5ed754efe2b8b818abce7effadd3d7baf80fab3fa98337aa4ccfab8,reward_distribution_TEND_WING
0x4b21351e3a52a078e7bb0cd3a12a5073dbd213eab91e16ccab09d6348c5536f0,reward_distribution_TEND_WING
0xd7c10caed8ca8b7dedfc87ac29c096a3d2736e92e37dd7ce2cdaf9c6ef499fbe,reward_distribution_TEND_WING
0x188cae2ffac46a595e70e01d2045b43dde47013fe7311cffdd3d26d7ad1dc60f,reward_distribution_TEND_WING
0x2ad1feecf4b6c01e79c108d836573da16f0e5228da9189ac13dcbc3dd448de73,reward_distribution_TEND_WING
0x49f5ad5c6fdeca865a334f62942138872ee0ff25df1859a969d0d69212b37f14,reward_distribution_TEND_WING
0xe9fcd564bbe86b419ff024ebd0407548ffbd330eb0def24126db0df15a35feaf,reward_distribution_TEND_WING
0xcccd264eb6eb508ba3d5df3cdbe467f97cd519e076174f737acff6100270ac4c,reward_distribution_TEND_WING
0x03ca50ffb170579322025730294d9c02b77bf42e58150c9bf3c39cb7e9117ab6,reward_distribution_TEND_WING
0x29fd0b6944133d835691fc2d37ae818b8c89d309561e06e0da6daaeb6448f458,reward_distribution_TEND_WING
0xb360eb4e330102b2e188e3a23bf85225aa2bdd0f1b7a3420595defa1723e816e,reward_distribution_TEND_WING
0xe71bf5a27ccae57f5ed1fa8ee1ea821ee8e42887e3a965447aafa94f974f2692,reward_distribution_TEND_WING
0x67a1e8822352af7fcf1d52a0514aa907e146c8730bf31a6b0fde36662fbcaf91,reward_distribution_TEND_WING
0x8fe07a9eb23b6e1a6e60e3d9f869c560749bcd6ed08db45e21afa19f7e72efb5,reward_distribution_TEND_WING
0xfe15794c62df6d5caa287459334fd5b5c6eb990dd49bb5de2de96df46997c1e6,reward_distribution_TEND_WING
0xf492752d36921d6f4d2fd1ef2ca88f227cf13a50f4e8eb935af7910975320019,reward_distribution_TEND_WING
0x50239faef31511b07bc92de2c8fb2a1870f7c229e0107bf800f2cfecd91be423,reward_distribution_TEND_WING
0xa65b52c08ba34a51ff8c28f378f5945ad0373dd1c7718531ad274b6cced519e1,reward_distribution_TEND_WING
0x9792dea08e3f50d2b54a6d9ae072da3f90556306e5527ddd3e8f58b8a8dcf9a9,reward_distribution_TEND_WING
0x3508594194a33ed9f1c114ead67ffc29ac0a2c9645f39ae1ab84df42e787ced0,reward_distribution_TEND_WING
0x8f3abc4d25faf72b58f9127987cd934da1cae96330b8aee2c4ac0a152b367299,reward_distribution_TEND_WING
0x6646fa210b4d40295d5f39def1a9aa157e823bd3c5ff1d77c6602fc963075b14,reward_distribution_TEND_WING
0x861885ca1d659a349f9cd53bba0f2499b4525e7100a69d19471c0777e27875ef,reward_distribution_TEND_WING
0x89529e6f1745d019772b424f6a35ce9ec9d3e32bcdf2375a841906be74847a96,reward_distribution_TEND_WING
0xc9c33b0320b1f8f29fab9eea5288ab4fd56f52a0c86668b95144d9c2f41e0824,reward_distribution_TEND_WING
0x19c9c628afa57511f2d407dee25297419d9f533c9828ff9635c834ca48a5dc70,reward_distribution_TEND_WING
0xdc90dbcc83fbbce685e41d31ad033b82a8f0d3d041898b443352b4507d533973,reward_distribution_TEND_WING
0xa57f42acd046551340f2dec2651f137bde42e0ac0bb2dcfc462a4b72b8642433,reward_distribution_TEND_WING
0x7140658f49eda5b8902e0018d8eacc0bcc9fcf705e3a672e878aa5858c49f25f,reward_distribution_TEND_WING
0xdfc185d45199c267e17781ba52c11314c4e29da473d505522deceff91a871bf8,reward_distribution_TEND_WING
0x85a361d46b9af95a7e39ea638f8b0d6302c8554883c45ea48b65354f253861ba,reward_distribution_TEND_WING
0x59f9e009e697d79a9ee728caa6a330cfff13bdde6548ea7e96ff8d9465b2589e,reward_distribution_TEND_WING
0x16c1930672e54508da2a9e908b3c718ac1155d48a65e97eb6a981f7aedf5de6d,reward_distribution_TEND_WING
0xd2d58793eb14baf7da242fb4f5c582a214bdfa9bd4b7b11796af11967210840f,reward_distribution_TEND_WING
0x5dfe931c271df8f440b4998306748973d1279e34d779b96d052d3bd38c0e7cac,reward_distribution_TEND_WING
0x73729db4f1de3419c1a2843a641cd7290883dbae61ac1a1ed9f864c981e0c3dc,reward_distribution_TEND_WING
0x5d69a44bb2efc37275c8a16b0dfb987c6c861c2d863e1e1874e1d2b09cbebcbe,reward_distribution_TEND_WING
0x32a795884c2fa9ff97bacbdc094642e149a030d43acc880ac27020a9c31f8635,reward_distribution_TEND_WING
0xf8ce531487d55ad3f840457c48ed0cd3b1cc491a0221b1ac9041c460d4a5c58d,reward_distribution_TEND_WING
0x2b23f2d9caec98b618a005db28fb224688751e663bb0ac5271376658aca96f5f,reward_distribution_TEND_WING
0x7d98a2fcf24836aa0c79656595b1332755f3bfa5cc751efeabb982ad39083263,reward_distribution_TEND_WING
0xbfbffddbe535d0830699bcbaccf16314be556b8a4e9a161482b3af07e6766b45,reward_distribution_TEND_WING
0xbe2424e9cd9b717c06830cb160d00d2c1f1015418dfcdc4cfb64e0bbd0a5cfa0,reward_distribution_TEND_WING
0x5eb1bbf4ad7dce8f396de2227091cf407752a52c794d7eb5cd7e517adb8ce5b9,reward_distribution_TEND_WING
0xfbafa3c120e12169eb4454ea9328d11902ee9aebd9890c36d3cd84fd9533b422,reward_distribution_TEND_WING
0x12b49216873c9c83331a201e59d882880987975abb3c3e837b88e804ef752139,yield_bearing_CreamY_yyCRV
0x14db74370790568a81c846808541962efe0a9e88a6d1bc3e220c7f1e46d846d4,yield_bearing_CreamY_yyCRV
0x1687b10e16edf7933b74481437c9eec8722293503a7a664f47fbbf0c41eb6a96,yield_bearing_CreamY_yyCRV
0x33b370bbe5952208ca4e2b333e0f996d223b67319ffe36b0b326d544b22f9163,yield_bearing_CreamY_yyCRV
0x48785cd3515f8558109f78b7cfe86a21df5dc6a35238cd20c4aa04a7ed831199,yield_bearing_CreamY_yyCRV
0x677c206ed11b00048476d8e6ca33ece4a6c82ec4e0f0bdc6ba4e54756aadacea,yield_bearing_CreamY_yyCRV
0x8764dcb3b6e87f5aeffacb9e9014f887a7c29e648843c868beca2125c2839c65,yield_bearing_CreamY_yyCRV
0x97956ed2dc1aca7b0862c88023c00a6f77332fbf553fa0501b1a273d2307e3f3,yield_bearing_CreamY_yyCRV
0xb665224903f35ee2cb5e84f1b6f3b6b42d9a01f6420b8a3c455c53f36fe5d71e,yield_bearing_CreamY_yyCRV
0xb8ab4ceb97356cb78dcb8e32d5fbc4174426a83b17d3420e2dc5b9c335c92d69,yield_bearing_CreamY_yyCRV
0xf66ccb7bc25a9e4f1ef23b041026d254f5d99e3b2ec8f381cdf848795a4bda54,yield_bearing_CreamY_yyCRV
0xf68d275d2d34909a3ab70e526c3eba9be36dc24149842609f7404dbd583a5031,yield_bearing_CreamY_yyCRV
